COD. UF,UF,CODMUN7,NOME DO MUNICÍPIO,POP20,POP21,POP22
21,MA,2103158,Centro do Guilherme,13670,13876,12384
21,MA,2103174,Centro Novo do Maranhão,21840,22056,16254
21,MA,2103208,Chapadinha,80195,80705,81339
21,MA,2103257,Cidelândia,14777,14855,12857
21,MA,2103307,Codó,123116,123368,112110
21,MA,2103406,Coelho Neto,49621,49804,41353
21,MA,2103505,Colinas,41312,41443,40322
21,MA,2103554,Conceição do Lago-Açu,16400,16559,14921
21,MA,2103604,Coroatá,65544,65788,59563
21,MA,2103703,Cururupu,32626,32559,31662
21,MA,2103752,Davinópolis,12916,12923,14467
21,MA,2103802,Dom Pedro,23372,23393,23111
21,MA,2103901,Duque Bacelar,11401,11451,10223
21,MA,2104008,Esperantinópolis,17104,16971,18355
21,MA,2104057,Estreito,42527,43097,33245
21,MA,2104073,Feira Nova do Maranhão,8484,8506,8048
21,MA,2104081,Fernando Falcão,10460,10559,10875
21,MA,2104099,Formosa da Serra Negra,19258,19425,17758
21,MA,2104107,Fortaleza dos Nogueiras,12647,12662,12642
21,MA,2104206,Fortuna,15567,17812,17075
21,MA,2104305,Godofredo Viana,11963,12104,9894
21,MA,2104404,Gonçalves Dias,17944,17953,17432
